i,j,score
0,0,0
1,0,202
0,1,202
1,1,0
2,0,61
0,2,61
2,1,57
1,2,57
2,2,0
3,0,158
0,3,158
3,1,164
1,3,164
3,2,56
2,3,56
3,3,0
4,0,153
0,4,153
4,1,172
1,4,172
4,2,55
2,4,55
4,3,133
3,4,133
4,4,0
5,0,59
0,5,59
5,1,63
1,5,63
5,2,36
2,5,36
5,3,57
3,5,57
5,4,51
4,5,51
5,5,0
6,0,155
0,6,155
6,1,157
1,6,157
6,2,48
2,6,48
6,3,137
3,6,137
6,4,144
4,6,144
6,5,48
5,6,48
6,6,0
7,0,23
0,7,23
7,1,26
1,7,26
7,2,15
2,7,15
7,3,29
3,7,29
7,4,23
4,7,23
7,5,18
5,7,18
7,6,22
6,7,22
7,7,0
8,0,17
0,8,17
8,1,21
1,8,21
8,2,11
2,8,11
8,3,14
3,8,14
8,4,21
4,8,21
8,5,12
5,8,12
8,6,18
6,8,18
8,7,9
7,8,9
8,8,0
9,0,213
0,9,213
9,1,203
1,9,203
9,2,57
2,9,57
9,3,178
3,9,178
9,4,201
4,9,201
9,5,57
5,9,57
9,6,161
6,9,161
9,7,29
7,9,29
9,8,24
8,9,24
9,9,0
10,0,118
0,10,118
10,1,120
1,10,120
10,2,39
2,10,39
10,3,87
3,10,87
10,4,100
4,10,100
10,5,41
5,10,41
10,6,85
6,10,85
10,7,22
7,10,22
10,8,16
8,10,16
10,9,122
9,10,122
10,10,0
11,0,48
0,11,48
11,1,55
1,11,55
11,2,23
2,11,23
11,3,43
3,11,43
11,4,57
4,11,57
11,5,22
5,11,22
11,6,45
6,11,45
11,7,12
7,11,12
11,8,14
8,11,14
11,9,55
9,11,55
11,10,37
10,11,37
11,11,0
12,0,99
0,12,99
12,1,92
1,12,92
12,2,41
2,12,41
12,3,77
3,12,77
12,4,87
4,12,87
12,5,32
5,12,32
12,6,76
6,12,76
12,7,18
7,12,18
12,8,15
8,12,15
12,9,106
9,12,106
12,10,59
10,12,59
12,11,33
11,12,33
12,12,0
13,0,88
0,13,88
13,1,100
1,13,100
13,2,36
2,13,36
13,3,84
3,13,84
13,4,92
4,13,92
13,5,39
5,13,39
13,6,73
6,13,73
13,7,23
7,13,23
13,8,16
8,13,16
13,9,97
9,13,97
13,10,64
10,13,64
13,11,39
11,13,39
13,12,51
12,13,51
13,13,0
14,0,161
0,14,161
14,1,190
1,14,190
14,2,44
2,14,44
14,3,134
3,14,134
14,4,161
4,14,161
14,5,56
5,14,56
14,6,172
6,14,172
14,7,21
7,14,21
14,8,23
8,14,23
14,9,184
9,14,184
14,10,99
10,14,99
14,11,53
11,14,53
14,12,83
12,14,83
14,13,85
13,14,85
14,14,0
15,0,172
0,15,172
15,1,173
1,15,173
15,2,58
2,15,58
15,3,136
3,15,136
15,4,131
4,15,131
15,5,48
5,15,48
15,6,120
6,15,120
15,7,21
7,15,21
15,8,16
8,15,16
15,9,178
9,15,178
15,10,98
10,15,98
15,11,45
11,15,45
15,12,95
12,15,95
15,13,76
13,15,76
15,14,139
14,15,139
15,15,0
16,0,53
0,16,53
16,1,48
1,16,48
16,2,25
2,16,25
16,3,49
3,16,49
16,4,46
4,16,46
16,5,25
5,16,25
16,6,41
6,16,41
16,7,10
7,16,10
16,8,7
8,16,7
16,9,52
9,16,52
16,10,36
10,16,36
16,11,19
11,16,19
16,12,38
12,16,38
16,13,35
13,16,35
16,14,39
14,16,39
16,15,42
15,16,42
16,16,0
17,0,141
0,17,141
17,1,151
1,17,151
17,2,50
2,17,50
17,3,128
3,17,128
17,4,140
4,17,140
17,5,51
5,17,51
17,6,122
6,17,122
17,7,27
7,17,27
17,8,22
8,17,22
17,9,155
9,17,155
17,10,90
10,17,90
17,11,48
11,17,48
17,12,71
12,17,71
17,13,86
13,17,86
17,14,146
14,17,146
17,15,123
15,17,123
17,16,37
16,17,37
17,17,0
18,0,116
0,18,116
18,1,123
1,18,123
18,2,45
2,18,45
18,3,102
3,18,102
18,4,105
4,18,105
18,5,47
5,18,47
18,6,102
6,18,102
18,7,23
7,18,23
18,8,21
8,18,21
18,9,122
9,18,122
18,10,74
10,18,74
18,11,49
11,18,49
18,12,69
12,18,69
18,13,80
13,18,80
18,14,109
14,18,109
18,15,104
15,18,104
18,16,39
16,18,39
18,17,105
17,18,105
18,18,0
19,0,96
0,19,96
19,1,100
1,19,100
19,2,36
2,19,36
19,3,92
3,19,92
19,4,87
4,19,87
19,5,40
5,19,40
19,6,77
6,19,77
19,7,18
7,19,18
19,8,14
8,19,14
19,9,112
9,19,112
19,10,62
10,19,62
19,11,33
11,19,33
19,12,52
12,19,52
19,13,55
13,19,55
19,14,83
14,19,83
19,15,84
15,19,84
19,16,31
16,19,31
19,17,71
17,19,71
19,18,62
18,19,62
19,19,0
20,0,19
0,20,19
20,1,18
1,20,18
20,2,11
2,20,11
20,3,18
3,20,18
20,4,19
4,20,19
20,5,10
5,20,10
20,6,17
6,20,17
20,7,7
7,20,7
20,8,7
8,20,7
20,9,20
9,20,20
20,10,14
10,20,14
20,11,10
11,20,10
20,12,13
12,20,13
20,13,13
13,20,13
20,14,18
14,20,18
20,15,18
15,20,18
20,16,11
16,20,11
20,17,18
17,20,18
20,18,14
18,20,14
20,19,15
19,20,15
20,20,0
21,0,219
0,21,219
21,1,218
1,21,218
21,2,65
2,21,65
21,3,166
3,21,166
21,4,177
4,21,177
21,5,57
5,21,57
21,6,172
6,21,172
21,7,26
7,21,26
21,8,22
8,21,22
21,9,227
9,21,227
21,10,111
10,21,111
21,11,59
11,21,59
21,12,93
12,21,93
21,13,95
13,21,95
21,14,199
14,21,199
21,15,190
15,21,190
21,16,53
16,21,53
21,17,161
17,21,161
21,18,129
18,21,129
21,19,101
19,21,101
21,20,23
20,21,23
21,21,0
22,0,181
0,22,181
22,1,195
1,22,195
22,2,58
2,22,58
22,3,148
3,22,148
22,4,158
4,22,158
22,5,51
5,22,51
22,6,141
6,22,141
22,7,24
7,22,24
22,8,20
8,22,20
22,9,203
9,22,203
22,10,97
10,22,97
22,11,53
11,22,53
22,12,94
12,22,94
22,13,90
13,22,90
22,14,161
14,22,161
22,15,151
15,22,151
22,16,49
16,22,49
22,17,137
17,22,137
22,18,116
18,22,116
22,19,92
19,22,92
22,20,17
20,22,17
22,21,190
21,22,190
22,22,0
23,0,43
0,23,43
23,1,47
1,23,47
23,2,19
2,23,19
23,3,40
3,23,40
23,4,41
4,23,41
23,5,23
5,23,23
23,6,40
6,23,40
23,7,18
7,23,18
23,8,8
8,23,8
23,9,45
9,23,45
23,10,31
10,23,31
23,11,23
11,23,23
23,12,31
12,23,31
23,13,31
13,23,31
23,14,49
14,23,49
23,15,40
15,23,40
23,16,18
16,23,18
23,17,40
17,23,40
23,18,35
18,23,35
23,19,26
19,23,26
23,20,8
20,23,8
23,21,47
21,23,47
23,22,49
22,23,49
23,23,0
24,0,56
0,24,56
24,1,54
1,24,54
24,2,26
2,24,26
24,3,48
3,24,48
24,4,57
4,24,57
24,5,29
5,24,29
24,6,51
6,24,51
24,7,18
7,24,18
24,8,17
8,24,17
24,9,62
9,24,62
24,10,39
10,24,39
24,11,35
11,24,35
24,12,35
12,24,35
24,13,40
13,24,40
24,14,66
14,24,66
24,15,52
15,24,52
24,16,21
16,24,21
24,17,61
17,24,61
24,18,55
18,24,55
24,19,35
19,24,35
24,20,10
20,24,10
24,21,66
21,24,66
24,22,61
22,24,61
24,23,38
23,24,38
24,24,0
25,0,53
0,25,53
25,1,60
1,25,60
25,2,25
2,25,25
25,3,53
3,25,53
25,4,52
4,25,52
25,5,23
5,25,23
25,6,56
6,25,56
25,7,12
7,25,12
25,8,10
8,25,10
25,9,58
9,25,58
25,10,40
10,25,40
25,11,29
11,25,29
25,12,39
12,25,39
25,13,41
13,25,41
25,14,57
14,25,57
25,15,53
15,25,53
25,16,22
16,25,22
25,17,48
17,25,48
25,18,53
18,25,53
25,19,35
19,25,35
25,20,7
20,25,7
25,21,56
21,25,56
25,22,59
22,25,59
25,23,27
23,25,27
25,24,31
24,25,31
25,25,0
26,0,33
0,26,33
26,1,34
1,26,34
26,2,18
2,26,18
26,3,31
3,26,31
26,4,31
4,26,31
26,5,21
5,26,21
26,6,29
6,26,29
26,7,12
7,26,12
26,8,7
8,26,7
26,9,34
9,26,34
26,10,27
10,26,27
26,11,20
11,26,20
26,12,24
12,26,24
26,13,23
13,26,23
26,14,35
14,26,35
26,15,31
15,26,31
26,16,12
16,26,12
26,17,32
17,26,32
26,18,26
18,26,26
26,19,20
19,26,20
26,20,6
20,26,6
26,21,36
21,26,36
26,22,31
22,26,31
26,23,16
23,26,16
26,24,22
24,26,22
26,25,18
25,26,18
26,26,0
27,0,186
0,27,186
27,1,175
1,27,175
27,2,63
2,27,63
27,3,149
3,27,149
27,4,150
4,27,150
27,5,54
5,27,54
27,6,145
6,27,145
27,7,22
7,27,22
27,8,20
8,27,20
27,9,196
9,27,196
27,10,104
10,27,104
27,11,51
11,27,51
27,12,91
12,27,91
27,13,88
13,27,88
27,14,164
14,27,164
27,15,151
15,27,151
27,16,48
16,27,48
27,17,143
17,27,143
27,18,111
18,27,111
27,19,93
19,27,93
27,20,16
20,27,16
27,21,190
21,27,190
27,22,184
22,27,184
27,23,42
23,27,42
27,24,57
24,27,57
27,25,58
25,27,58
27,26,31
26,27,31
27,27,0
28,0,78
0,28,78
28,1,80
1,28,80
28,2,31
2,28,31
28,3,76
3,28,76
28,4,82
4,28,82
28,5,32
5,28,32
28,6,64
6,28,64
28,7,20
7,28,20
28,8,15
8,28,15
28,9,95
9,28,95
28,10,55
10,28,55
28,11,39
11,28,39
28,12,48
12,28,48
28,13,61
13,28,61
28,14,80
14,28,80
28,15,72
15,28,72
28,16,30
16,28,30
28,17,73
17,28,73
28,18,63
18,28,63
28,19,49
19,28,49
28,20,12
20,28,12
28,21,95
21,28,95
28,22,75
22,28,75
28,23,30
23,28,30
28,24,36
24,28,36
28,25,40
25,28,40
28,26,24
26,28,24
28,27,82
27,28,82
28,28,0
29,0,152
0,29,152
29,1,154
1,29,154
29,2,48
2,29,48
29,3,139
3,29,139
29,4,136
4,29,136
29,5,53
5,29,53
29,6,117
6,29,117
29,7,24
7,29,24
29,8,16
8,29,16
29,9,198
9,29,198
29,10,87
10,29,87
29,11,44
11,29,44
29,12,80
12,29,80
29,13,70
13,29,70
29,14,134
14,29,134
29,15,130
15,29,130
29,16,39
16,29,39
29,17,108
17,29,108
29,18,94
18,29,94
29,19,86
19,29,86
29,20,12
20,29,12
29,21,159
21,29,159
29,22,156
22,29,156
29,23,40
23,29,40
29,24,43
24,29,43
29,25,48
25,29,48
29,26,29
26,29,29
29,27,139
27,29,139
29,28,69
28,29,69
29,29,0
30,0,79
0,30,79
30,1,85
1,30,85
30,2,32
2,30,32
30,3,68
3,30,68
30,4,88
4,30,88
30,5,33
5,30,33
30,6,75
6,30,75
30,7,16
7,30,16
30,8,18
8,30,18
30,9,100
9,30,100
30,10,62
10,30,62
30,11,33
11,30,33
30,12,54
12,30,54
30,13,56
13,30,56
30,14,82
14,30,82
30,15,71
15,30,71
30,16,29
16,30,29
30,17,72
17,30,72
30,18,65
18,30,65
30,19,50
19,30,50
30,20,10
20,30,10
30,21,91
21,30,91
30,22,73
22,30,73
30,23,34
23,30,34
30,24,36
24,30,36
30,25,36
25,30,36
30,26,22
26,30,22
30,27,92
27,30,92
30,28,53
28,30,53
30,29,69
29,30,69
30,30,0
31,0,140
0,31,140
31,1,161
1,31,161
31,2,43
2,31,43
31,3,126
3,31,126
31,4,142
4,31,142
31,5,52
5,31,52
31,6,132
6,31,132
31,7,28
7,31,28
31,8,21
8,31,21
31,9,160
9,31,160
31,10,84
10,31,84
31,11,52
11,31,52
31,12,78
12,31,78
31,13,94
13,31,94
31,14,137
14,31,137
31,15,126
15,31,126
31,16,45
16,31,45
31,17,123
17,31,123
31,18,114
18,31,114
31,19,74
19,31,74
31,20,15
20,31,15
31,21,166
21,31,166
31,22,144
22,31,144
31,23,51
23,31,51
31,24,56
24,31,56
31,25,57
25,31,57
31,26,32
26,31,32
31,27,141
27,31,141
31,28,73
28,31,73
31,29,135
29,31,135
31,30,80
30,31,80
31,31,0
32,0,100
0,32,100
32,1,111
1,32,111
32,2,41
2,32,41
32,3,101
3,32,101
32,4,110
4,32,110
32,5,36
5,32,36
32,6,99
6,32,99
32,7,19
7,32,19
32,8,18
8,32,18
32,9,128
9,32,128
32,10,67
10,32,67
32,11,40
11,32,40
32,12,63
12,32,63
32,13,64
13,32,64
32,14,107
14,32,107
32,15,97
15,32,97
32,16,35
16,32,35
32,17,94
17,32,94
32,18,77
18,32,77
32,19,66
19,32,66
32,20,14
20,32,14
32,21,120
21,32,120
32,22,112
22,32,112
32,23,34
23,32,34
32,24,38
24,32,38
32,25,45
25,32,45
32,26,21
26,32,21
32,27,115
27,32,115
32,28,54
28,32,54
32,29,88
29,32,88
32,30,58
30,32,58
32,31,93
31,32,93
32,32,0
33,0,193
0,33,193
33,1,194
1,33,194
33,2,59
2,33,59
33,3,157
3,33,157
33,4,155
4,33,155
33,5,55
5,33,55
33,6,159
6,33,159
33,7,22
7,33,22
33,8,23
8,33,23
33,9,208
9,33,208
33,10,108
10,33,108
33,11,52
11,33,52
33,12,88
12,33,88
33,13,88
13,33,88
33,14,178
14,33,178
33,15,160
15,33,160
33,16,44
16,33,44
33,17,140
17,33,140
33,18,112
18,33,112
33,19,96
19,33,96
33,20,18
20,33,18
33,21,209
21,33,209
33,22,172
22,33,172
33,23,43
23,33,43
33,24,59
24,33,59
33,25,59
25,33,59
33,26,37
26,33,37
33,27,175
27,33,175
33,28,83
28,33,83
33,29,149
29,33,149
33,30,83
30,33,83
33,31,150
31,33,150
33,32,101
32,33,101
33,33,0
34,0,71
0,34,71
34,1,76
1,34,76
34,2,31
2,34,31
34,3,68
3,34,68
34,4,67
4,34,67
34,5,32
5,34,32
34,6,68
6,34,68
34,7,22
7,34,22
34,8,16
8,34,16
34,9,75
9,34,75
34,10,44
10,34,44
34,11,32
11,34,32
34,12,46
12,34,46
34,13,50
13,34,50
34,14,73
14,34,73
34,15,67
15,34,67
34,16,28
16,34,28
34,17,66
17,34,66
34,18,61
18,34,61
34,19,50
19,34,50
34,20,12
20,34,12
34,21,78
21,34,78
34,22,71
22,34,71
34,23,32
23,34,32
34,24,37
24,34,37
34,25,38
25,34,38
34,26,19
26,34,19
34,27,73
27,34,73
34,28,45
28,34,45
34,29,64
29,34,64
34,30,47
30,34,47
34,31,75
31,34,75
34,32,51
32,34,51
34,33,74
33,34,74
34,34,0
35,0,72
0,35,72
35,1,78
1,35,78
35,2,33
2,35,33
35,3,72
3,35,72
35,4,71
4,35,71
35,5,28
5,35,28
35,6,62
6,35,62
35,7,20
7,35,20
35,8,15
8,35,15
35,9,84
9,35,84
35,10,52
10,35,52
35,11,25
11,35,25
35,12,49
12,35,49
35,13,48
13,35,48
35,14,62
14,35,62
35,15,66
15,35,66
35,16,28
16,35,28
35,17,69
17,35,69
35,18,54
18,35,54
35,19,52
19,35,52
35,20,14
20,35,14
35,21,76
21,35,76
35,22,76
22,35,76
35,23,25
23,35,25
35,24,30
24,35,30
35,25,31
25,35,31
35,26,17
26,35,17
35,27,79
27,35,79
35,28,36
28,35,36
35,29,64
29,35,64
35,30,50
30,35,50
35,31,70
31,35,70
35,32,60
32,35,60
35,33,81
33,35,81
35,34,42
34,35,42
35,35,0
36,0,103
0,36,103
36,1,96
1,36,96
36,2,47
2,36,47
36,3,80
3,36,80
36,4,89
4,36,89
36,5,35
5,36,35
36,6,83
6,36,83
36,7,20
7,36,20
36,8,16
8,36,16
36,9,100
9,36,100
36,10,65
10,36,65
36,11,31
11,36,31
36,12,59
12,36,59
36,13,58
13,36,58
36,14,89
14,36,89
36,15,84
15,36,84
36,16,32
16,36,32
36,17,82
17,36,82
36,18,68
18,36,68
36,19,57
19,36,57
36,20,15
20,36,15
36,21,110
21,36,110
36,22,89
22,36,89
36,23,28
23,36,28
36,24,40
24,36,40
36,25,33
25,36,33
36,26,18
26,36,18
36,27,95
27,36,95
36,28,48
28,36,48
36,29,83
29,36,83
36,30,50
30,36,50
36,31,80
31,36,80
36,32,72
32,36,72
36,33,95
33,36,95
36,34,45
34,36,45
36,35,50
35,36,50
36,36,0
37,0,9
0,37,9
37,1,11
1,37,11
37,2,7
2,37,7
37,3,8
3,37,8
37,4,9
4,37,9
37,5,7
5,37,7
37,6,8
6,37,8
37,7,6
7,37,6
37,8,3
8,37,3
37,9,10
9,37,10
37,10,6
10,37,6
37,11,6
11,37,6
37,12,7
12,37,7
37,13,6
13,37,6
37,14,9
14,37,9
37,15,9
15,37,9
37,16,6
16,37,6
37,17,10
17,37,10
37,18,7
18,37,7
37,19,8
19,37,8
37,20,5
20,37,5
37,21,9
21,37,9
37,22,9
22,37,9
37,23,6
23,37,6
37,24,7
24,37,7
37,25,7
25,37,7
37,26,6
26,37,6
37,27,8
27,37,8
37,28,7
28,37,7
37,29,9
29,37,9
37,30,8
30,37,8
37,31,7
31,37,7
37,32,7
32,37,7
37,33,14
33,37,14
37,34,7
34,37,7
37,35,7
35,37,7
37,36,8
36,37,8
37,37,0
38,0,108
0,38,108
38,1,116
1,38,116
38,2,45
2,38,45
38,3,104
3,38,104
38,4,105
4,38,105
38,5,46
5,38,46
38,6,98
6,38,98
38,7,21
7,38,21
38,8,18
8,38,18
38,9,117
9,38,117
38,10,78
10,38,78
38,11,41
11,38,41
38,12,68
12,38,68
38,13,67
13,38,67
38,14,108
14,38,108
38,15,99
15,38,99
38,16,34
16,38,34
38,17,107
17,38,107
38,18,87
18,38,87
38,19,62
19,38,62
38,20,17
20,38,17
38,21,116
21,38,116
38,22,100
22,38,100
38,23,38
23,38,38
38,24,46
24,38,46
38,25,49
25,38,49
38,26,27
26,38,27
38,27,109
27,38,109
38,28,66
28,38,66
38,29,96
29,38,96
38,30,61
30,38,61
38,31,108
31,38,108
38,32,69
32,38,69
38,33,109
33,38,109
38,34,60
34,38,60
38,35,52
35,38,52
38,36,70
36,38,70
38,37,7
37,38,7
38,38,0
39,0,135
0,39,135
39,1,153
1,39,153
39,2,45
2,39,45
39,3,126
3,39,126
39,4,143
4,39,143
39,5,56
5,39,56
39,6,128
6,39,128
39,7,24
7,39,24
39,8,22
8,39,22
39,9,169
9,39,169
39,10,94
10,39,94
39,11,52
11,39,52
39,12,82
12,39,82
39,13,96
13,39,96
39,14,150
14,39,150
39,15,133
15,39,133
39,16,40
16,39,40
39,17,133
17,39,133
39,18,109
18,39,109
39,19,78
19,39,78
39,20,14
20,39,14
39,21,158
21,39,158
39,22,145
22,39,145
39,23,60
23,39,60
39,24,65
24,39,65
39,25,56
25,39,56
39,26,38
26,39,38
39,27,149
27,39,149
39,28,84
28,39,84
39,29,121
29,39,121
39,30,78
30,39,78
39,31,164
31,39,164
39,32,91
32,39,91
39,33,141
33,39,141
39,34,69
34,39,69
39,35,71
35,39,71
39,36,77
36,39,77
39,37,8
37,39,8
39,38,107
38,39,107
39,39,0
40,0,104
0,40,104
40,1,109
1,40,109
40,2,43
2,40,43
40,3,91
3,40,91
40,4,98
4,40,98
40,5,43
5,40,43
40,6,86
6,40,86
40,7,22
7,40,22
40,8,16
8,40,16
40,9,110
9,40,110
40,10,72
10,40,72
40,11,41
11,40,41
40,12,55
12,40,55
40,13,66
13,40,66
40,14,98
14,40,98
40,15,87
15,40,87
40,16,36
16,40,36
40,17,80
17,40,80
40,18,84
18,40,84
40,19,59
19,40,59
40,20,12
20,40,12
40,21,109
21,40,109
40,22,104
22,40,104
40,23,38
23,40,38
40,24,52
24,40,52
40,25,47
25,40,47
40,26,25
26,40,25
40,27,97
27,40,97
40,28,60
28,40,60
40,29,81
29,40,81
40,30,54
30,40,54
40,31,95
31,40,95
40,32,72
32,40,72
40,33,102
33,40,102
40,34,57
34,40,57
40,35,55
35,40,55
40,36,55
36,40,55
40,37,7
37,40,7
40,38,73
38,40,73
40,39,113
39,40,113
40,40,0
41,0,109
0,41,109
41,1,108
1,41,108
41,2,40
2,41,40
41,3,90
3,41,90
41,4,97
4,41,97
41,5,40
5,41,40
41,6,93
6,41,93
41,7,22
7,41,22
41,8,19
8,41,19
41,9,114
9,41,114
41,10,67
10,41,67
41,11,45
11,41,45
41,12,55
12,41,55
41,13,69
13,41,69
41,14,97
14,41,97
41,15,94
15,41,94
41,16,32
16,41,32
41,17,90
17,41,90
41,18,81
18,41,81
41,19,55
19,41,55
41,20,13
20,41,13
41,21,116
21,41,116
41,22,105
22,41,105
41,23,35
23,41,35
41,24,48
24,41,48
41,25,38
25,41,38
41,26,26
26,41,26
41,27,101
27,41,101
41,28,57
28,41,57
41,29,85
29,41,85
41,30,60
30,41,60
41,31,103
31,41,103
41,32,65
32,41,65
41,33,106
33,41,106
41,34,57
34,41,57
41,35,48
35,41,48
41,36,63
36,41,63
41,37,7
37,41,7
41,38,70
38,41,70
41,39,96
39,41,96
41,40,63
40,41,63
41,41,0
42,0,98
0,42,98
42,1,97
1,42,97
42,2,39
2,42,39
42,3,79
3,42,79
42,4,83
4,42,83
42,5,44
5,42,44
42,6,80
6,42,80
42,7,20
7,42,20
42,8,13
8,42,13
42,9,107
9,42,107
42,10,69
10,42,69
42,11,29
11,42,29
42,12,59
12,42,59
42,13,63
13,42,63
42,14,87
14,42,87
42,15,87
15,42,87
42,16,33
16,42,33
42,17,74
17,42,74
42,18,80
18,42,80
42,19,48
19,42,48
42,20,11
20,42,11
42,21,102
21,42,102
42,22,89
22,42,89
42,23,41
23,42,41
42,24,44
24,42,44
42,25,39
25,42,39
42,26,27
26,42,27
42,27,88
27,42,88
42,28,54
28,42,54
42,29,83
29,42,83
42,30,56
30,42,56
42,31,88
31,42,88
42,32,69
32,42,69
42,33,88
33,42,88
42,34,55
34,42,55
42,35,47
35,42,47
