i,j,score
1,0,202
2,0,61
2,1,57
3,0,158
3,1,164
3,2,56
4,0,153
4,1,172
4,2,55
4,3,133
5,0,59
5,1,63
5,2,36
5,3,57
5,4,51
6,0,155
6,1,157
6,2,48
6,3,137
6,4,144
6,5,48
7,0,23
7,1,26
7,2,15
7,3,29
7,4,23
7,5,18
7,6,22
8,0,17
8,1,21
8,2,11
8,3,14
8,4,21
8,5,12
8,6,18
8,7,9
9,0,213
9,1,203
9,2,57
9,3,178
9,4,201
9,5,57
9,6,161
9,7,29
9,8,24
10,0,118
10,1,120
10,2,39
10,3,87
10,4,100
10,5,41
10,6,85
10,7,22
10,8,16
10,9,122
11,0,48
11,1,55
11,2,23
11,3,43
11,4,57
11,5,22
11,6,45
11,7,12
11,8,14
11,9,55
11,10,37
12,0,99
12,1,92
12,2,41
12,3,77
12,4,87
12,5,32
12,6,76
12,7,18
12,8,15
12,9,106
12,10,59
12,11,33
13,0,88
13,1,100
13,2,36
13,3,84
13,4,92
13,5,39
13,6,73
13,7,23
13,8,16
13,9,97
13,10,64
13,11,39
13,12,51
14,0,161
14,1,190
14,2,44
14,3,134
14,4,161
14,5,56
14,6,172
14,7,21
14,8,23
14,9,184
14,10,99
14,11,53
14,12,83
14,13,85
15,0,172
15,1,173
15,2,58
15,3,136
15,4,131
15,5,48
15,6,120
15,7,21
15,8,16
15,9,178
15,10,98
15,11,45
15,12,95
15,13,76
15,14,139
16,0,53
16,1,48
16,2,25
16,3,49
16,4,46
16,5,25
16,6,41
16,7,10
16,8,7
16,9,52
16,10,36
16,11,19
16,12,38
16,13,35
16,14,39
16,15,42
17,0,141
17,1,151
17,2,50
17,3,128
17,4,140
17,5,51
17,6,122
17,7,27
17,8,22
17,9,155
17,10,90
17,11,48
17,12,71
17,13,86
17,14,146
17,15,123
17,16,37
18,0,116
18,1,123
18,2,45
18,3,102
18,4,105
18,5,47
18,6,102
18,7,23
18,8,21
18,9,122
18,10,74
18,11,49
18,12,69
18,13,80
18,14,109
18,15,104
18,16,39
18,17,105
19,0,96
19,1,100
19,2,36
19,3,92
19,4,87
19,5,40
19,6,77
19,7,18
19,8,14
19,9,112
19,10,62
19,11,33
19,12,52
19,13,55
19,14,83
19,15,84
19,16,31
19,17,71
19,18,62
20,0,19
20,1,18
20,2,11
20,3,18
20,4,19
20,5,10
20,6,17
20,7,7
20,8,7
20,9,20
20,10,14
20,11,10
20,12,13
20,13,13
20,14,18
20,15,18
20,16,11
20,17,18
20,18,14
20,19,15
21,0,219
21,1,218
21,2,65
21,3,166
21,4,177
21,5,57
21,6,172
21,7,26
21,8,22
21,9,227
21,10,111
21,11,59
21,12,93
21,13,95
21,14,199
21,15,190
21,16,53
21,17,161
21,18,129
21,19,101
21,20,23
22,0,181
22,1,195
22,2,58
22,3,148
22,4,158
22,5,51
22,6,141
22,7,24
22,8,20
22,9,203
22,10,97
22,11,53
22,12,94
22,13,90
22,14,161
22,15,151
22,16,49
22,17,137
22,18,116
22,19,92
22,20,17
22,21,190
23,0,43
23,1,47
23,2,19
23,3,40
23,4,41
23,5,23
23,6,40
23,7,18
23,8,8
23,9,45
23,10,31
23,11,23
23,12,31
23,13,31
23,14,49
23,15,40
23,16,18
23,17,40
23,18,35
23,19,26
23,20,8
23,21,47
23,22,49
24,0,56
24,1,54
24,2,26
24,3,48
24,4,57
24,5,29
24,6,51
24,7,18
24,8,17
24,9,62
24,10,39
24,11,35
24,12,35
24,13,40
24,14,66
24,15,52
24,16,21
24,17,61
24,18,55
24,19,35
24,20,10
24,21,66
24,22,61
24,23,38
25,0,53
25,1,60
25,2,25
25,3,53
25,4,52
25,5,23
25,6,56
25,7,12
25,8,10
25,9,58
25,10,40
25,11,29
25,12,39
25,13,41
25,14,57
25,15,53
25,16,22
25,17,48
25,18,53
25,19,35
25,20,7
25,21,56
25,22,59
25,23,27
25,24,31
26,0,33
26,1,34
26,2,18
26,3,31
26,4,31
26,5,21
26,6,29
26,7,12
26,8,7
26,9,34
26,10,27
26,11,20
26,12,24
26,13,23
26,14,35
26,15,31
26,16,12
26,17,32
26,18,26
26,19,20
26,20,6
26,21,36
26,22,31
26,23,16
26,24,22
26,25,18
27,0,186
27,1,175
27,2,63
27,3,149
27,4,150
27,5,54
27,6,145
27,7,22
27,8,20
27,9,196
27,10,104
27,11,51
27,12,91
27,13,88
27,14,164
27,15,151
27,16,48
27,17,143
27,18,111
27,19,93
27,20,16
27,21,190
27,22,184
27,23,42
27,24,57
27,25,58
27,26,31
28,0,78
28,1,80
28,2,31
28,3,76
28,4,82
28,5,32
28,6,64
28,7,20
28,8,15
28,9,95
28,10,55
28,11,39
28,12,48
28,13,61
28,14,80
28,15,72
28,16,30
28,17,73
28,18,63
28,19,49
28,20,12
28,21,95
28,22,75
28,23,30
28,24,36
28,25,40
28,26,24
28,27,82
29,0,152
29,1,154
29,2,48
29,3,139
29,4,136
29,5,53
29,6,117
29,7,24
29,8,16
29,9,198
29,10,87
29,11,44
29,12,80
29,13,70
29,14,134
29,15,130
29,16,39
29,17,108
29,18,94
29,19,86
29,20,12
29,21,159
29,22,156
29,23,40
29,24,43
29,25,48
29,26,29
29,27,139
29,28,69
30,0,79
30,1,85
30,2,32
30,3,68
30,4,88
30,5,33
30,6,75
30,7,16
30,8,18
30,9,100
30,10,62
30,11,33
30,12,54
30,13,56
30,14,82
30,15,71
30,16,29
30,17,72
30,18,65
30,19,50
30,20,10
30,21,91
30,22,73
30,23,34
30,24,36
30,25,36
30,26,22
30,27,92
30,28,53
30,29,69
31,0,140
31,1,161
31,2,43
31,3,126
31,4,142
31,5,52
31,6,132
31,7,28
31,8,21
31,9,160
31,10,84
31,11,52
31,12,78
31,13,94
31,14,137
31,15,126
31,16,45
31,17,123
31,18,114
31,19,74
31,20,15
31,21,166
31,22,144
31,23,51
31,24,56
31,25,57
31,26,32
31,27,141
31,28,73
31,29,135
31,30,80
32,0,100
32,1,111
32,2,41
32,3,101
32,4,110
32,5,36
32,6,99
32,7,19
32,8,18
32,9,128
32,10,67
32,11,40
32,12,63
32,13,64
32,14,107
32,15,97
32,16,35
32,17,94
32,18,77
32,19,66
32,20,14
32,21,120
32,22,112
32,23,34
32,24,38
32,25,45
32,26,21
32,27,115
32,28,54
32,29,88
32,30,58
32,31,93
33,0,193
33,1,194
33,2,59
33,3,157
33,4,155
33,5,55
33,6,159
33,7,22
33,8,23
33,9,208
33,10,108
33,11,52
33,12,88
33,13,88
33,14,178
33,15,160
33,16,44
33,17,140
33,18,112
33,19,96
33,20,18
33,21,209
33,22,172
33,23,43
33,24,59
33,25,59
33,26,37
33,27,175
33,28,83
33,29,149
33,30,83
33,31,150
33,32,101
34,0,71
34,1,76
34,2,31
34,3,68
34,4,67
34,5,32
34,6,68
34,7,22
34,8,16
34,9,75
34,10,44
34,11,32
34,12,46
34,13,50
34,14,73
34,15,67
34,16,28
34,17,66
34,18,61
34,19,50
34,20,12
34,21,78
34,22,71
34,23,32
34,24,37
34,25,38
34,26,19
34,27,73
34,28,45
34,29,64
34,30,47
34,31,75
34,32,51
34,33,74
35,0,72
35,1,78
35,2,33
35,3,72
35,4,71
35,5,28
35,6,62
35,7,20
35,8,15
35,9,84
35,10,52
35,11,25
35,12,49
35,13,48
35,14,62
35,15,66
35,16,28
35,17,69
35,18,54
35,19,52
35,20,14
35,21,76
35,22,76
35,23,25
35,24,30
35,25,31
35,26,17
35,27,79
35,28,36
35,29,64
35,30,50
35,31,70
35,32,60
35,33,81
35,34,42
36,0,103
36,1,96
36,2,47
36,3,80
36,4,89
36,5,35
36,6,83
36,7,20
36,8,16
36,9,100
36,10,65
36,11,31
36,12,59
36,13,58
36,14,89
36,15,84
36,16,32
36,17,82
36,18,68
36,19,57
36,20,15
36,21,110
36,22,89
36,23,28
36,24,40
36,25,33
